table_0,table_0,table_0,table_0,table_1,table_1,table_1,table_1,table_2,table_2,table_2,table_2,table_3,table_3,table_3,table_3,table_4,table_4,table_4,table_4
10.06,2,5.85,8,80.46,2,8.75,11,19.06,11,-8.59,3,97.71,10,115.06,7,1.51,4,105.54,8
8.89,11,5.98,8,84.89,7,4.83,7,17.13,9,6.99,9,94.34,6,115.89,8,6.71,9,103.05,5
8.37,10,6.5,9,77.7,10,12.22,4,15.65,8,5.98,8,95.15,7,117.37,9,5.8,8,106.15,8
7.11,9,5.23,7,78.17,10,-8.98,3,13.91,6,-9.07,3,102.41,4,118.11,10,10.56,3,103.65,6
5.99,8,6.65,9,83.37,5,2.77,5,13.91,6,8.76,11,112.87,5,118.99,11,0.81,3,105.23,7
4.94,7,5.3,7,83.13,5,-13.04,9,12.37,4,8.16,10,110.01,2,119.94,2,6.92,9,102.88,5
3.61,6,6.36,8,86.53,9,-12.78,9,11.63,4,-9.06,3,109.5,11,120.61,3,0.44,2,106.42,8
3.17,5,6.2,8,88.09,10,2.91,5,10.75,3,5.86,8,113.72,6,122.17,4,7.94,10,104.2,6
1.81,4,5.44,7,78.91,11,1.22,3,199.02,11,8.57,11,119.22,11,122.81,5,3.4,5,103.94,6
0.81,3,6.56,9,79.5,11,-13.5,8,73.27,5,8.52,11,116.68,9,123.81,6,7.0,9,104.28,6
-0.33,2,5.3,7,77.75,10,-7.63,4,51.03,3,-5.82,6,112.07,4,124.67,7,1.78,4,103.8,6
0.49,2,6.52,9,74.93,7,6.02,8,39.3,11,-4.0,8,103.74,6,125.49,7,10.7,3,104.79,7
0.9,3,4.89,7,80.87,3,-8.27,4,33.68,6,-10.08,2,102.84,5,125.9,8,9.02,11,103.16,5
1.72,4,6.92,9,79.0,11,-0.86,11,28.72,11,-4.04,8,111.63,4,126.72,9,6.69,9,106.27,8
2.86,5,5.22,7,76.02,8,-10.73,11,23.87,6,-9.0,3,101.93,4,127.86,10,5.24,7,104.01,6
3.71,6,6.64,9,75.18,7,4.85,7,21.18,3,-5.43,7,110.79,3,128.71,11,5.76,8,104.14,6
5.55,8,6.2,8,80.5,3,-10.32,2,19.09,11,9.54,2,103.36,5,130.55,3,2.4,4,104.1,6
6.7,9,5.95,8,79.22,11,-8.53,3,17.58,10,-5.4,7,106.46,8,131.7,4,0.25,2,104.19,6
7.1,9,5.45,7,75.12,7,-11.59,10,15.55,8,3.55,6,103.21,5,132.1,4,9.0,11,104.06,6
8.09,10,6.54,9,74.09,6,-12.05,10,13.81,6,-5.25,7,107.14,9,133.09,5,-0.01,2,104.14,6
9.12,11,5.48,7,75.31,7,-6.42,6,12.93,5,8.79,11,109.78,2,134.12,6,1.04,3,103.99,6
10.25,2,6.65,9,72.86,5,-3.31,9,12.14,4,-0.29,2,111.56,4,135.25,7,2.22,4,104.39,6
10.93,3,5.02,7,76.01,8,-0.86,11,11.45,3,-9.46,3,101.58,4,135.93,8,7.46,9,103.69,6
11.58,4,6.63,9,75.18,7,12.97,5,10.29,2,7.57,10,110.27,2,136.58,9,3.42,5,104.97,7
12.61,5,5.4,7,80.14,2,5.13,7,199.13,11,-1.68,10,106.69,9,137.61,10,3.05,5,102.97,5
13.61,6,6.61,9,78.83,11,-2.78,9,72.59,5,6.4,8,105.22,7,138.61,11,1.01,3,106.24,8
12.63,5,5.41,7,73.89,6,-7.61,4,51.21,3,-10.3,2,94.36,6,139.63,2,8.03,10,103.73,6
11.32,3,6.28,8,74.95,7,12.2,4,39.7,2,-4.41,8,94.48,6,140.32,2,10.48,2,104.68,7
10.16,2,5.56,8,72.91,5,-7.59,4,33.27,5,-4.31,8,97.47,9,141.16,3,10.73,3,103.45,5
8.64,11,5.92,8,74.31,6,2.38,4,27.58,10,6.33,8,96.73,9,141.64,4,7.13,9,105.45,7
7.05,9,5.49,7,74.54,7,-7.49,5,25.03,7,4.27,6,103.55,6,142.05,4,7.02,9,103.19,5
6.47,8,6.94,9,72.49,4,-12.43,10,21.68,4,-1.87,10,104.15,6,143.47,5,4.71,7,105.82,8
5.51,8,5.09,7,73.07,5,-6.79,5,19.81,2,-1.56,10,100.57,3,144.51,7,9.06,11,103.52,6
4.94,7,7.34,9,75.15,7,-1.15,11,17.9,10,-6.74,5,100.58,3,145.94,8,11.72,4,105.23,7
3.59,6,4.31,6,74.17,6,-3.04,9,15.84,8,-9.63,2,101.4,3,146.59,9,3.41,5,103.07,5
3.19,5,8.29,10,75.83,8,7.04,9,15.32,7,9.79,2,109.02,11,148.19,10,1.0,3,106.12,8
1.94,4,3.47,5,72.89,5,12.66,5,15.45,7,-6.37,6,116.56,9,148.94,11,-0.41,2,103.62,6
1.16,3,8.75,11,78.95,11,5.19,7,14.93,7,9.53,2,114.12,6,150.16,2,11.36,3,105.25,7
0.13,2,3.23,5,77.27,9,0.14,2,13.48,5,3.76,6,123.94,6,151.13,3,9.96,2,103.25,5
-1.19,11,8.45,10,77.02,9,-6.38,6,12.46,4,3.71,6,114.69,7,151.81,4,5.47,7,105.94,8
0.23,2,3.97,6,83.06,5,-1.11,11,11.97,4,9.22,11,124.32,6,153.23,5,9.69,2,103.4,5
1.98,4,8.79,11,86.44,8,-0.7,11,10.29,2,9.77,2,114.42,6,154.98,7,8.25,10,105.51,8
3.36,5,3.59,6,88.29,10,7.02,9,10.25,2,-5.58,6,124.38,6,156.36,8,10.63,3,103.13,5
4.14,6,8.19,10,78.56,11,3.87,6,10.45,2,7.62,10,113.81,6,157.14,9,9.63,2,105.84,8
5.05,7,3.73,6,81.15,3,4.96,7,10.08,2,-8.13,4,120.81,3,158.05,10,10.86,3,103.44,5
6.21,8,8.43,10,80.92,3,-11.72,10,200.27,2,8.38,10,131.41,3,159.21,11,1.26,3,105.59,8
6.62,9,2.98,5,78.04,10,-7.89,4,73.73,6,-6.58,5,126.44,8,159.62,2,1.01,3,103.15,5
7.9,10,9.31,11,75.71,8,-5.24,7,50.89,3,0.16,2,133.69,6,160.9,3,7.48,9,106.03,8
9.33,11,3.11,5,80.41,2,-9.18,3,38.75,11,8.08,10,143.82,6,162.33,4,3.71,6,103.65,6
10.43,2,8.98,11,81.82,4,6.57,9,32.36,4,-4.53,7,137.55,10,163.43,5,0.16,2,105.08,7
11.55,4,3.14,5,76.07,8,-12.97,9,27.88,10,7.71,10,131.19,3,164.55,7,1.2,3,103.0,5
12.71,5,9.02,11,78.3,10,1.44,3,25.56,8,7.9,10,123.58,6,165.71,8,4.27,6,106.1,8
13.8,6,3.07,5,82.53,5,2.85,5,22.38,4,9.47,11,115.29,7,166.8,9,12.15,4,103.77,6
12.74,5,8.86,11,82.64,5,-8.37,4,19.96,2,10.26,2,123.75,6,167.74,10,7.89,10,104.87,7
11.31,3,2.71,5,85.87,8,-12.08,10,18.59,11,2.65,5,115.63,8,168.31,10,1.29,3,103.4,5
10.58,3,9.55,2,86.96,9,-11.3,11,16.17,8,5.92,8,121.21,3,169.58,2,12.44,4,105.51,8
9.79,2,2.66,5,79.12,11,-3.19,9,14.9,7,-10.01,2,130.82,3,170.79,3,6.35,8,103.06,5
9.57,2,10.13,2,75.66,8,-7.39,5,13.58,6,9.37,11,122.31,4,172.57,5,9.31,11,106.25,8
8.51,11,1.81,4,74.64,7,12.53,5,12.46,4,-10.59,11,123.66,6,173.51,6,2.89,5,103.78,6
7.47,9,10.16,2,78.61,11,-6.83,5,12.03,4,-1.54,10,114.58,7,174.47,6,-0.05,2,104.79,7
6.79,9,2.16,4,75.69,8,0.07,2,11.44,3,3.34,5,124.28,6,175.79,8,4.53,7,103.16,5
5.33,7,9.38,11,77.38,9,-3.65,8,10.11,2,-10.18,2,114.22,6,176.33,8,3.23,5,105.94,8
4.32,6,2.61,5,80.34,2,-0.26,2,199.85,2,5.99,8,123.57,6,177.32,9,6.99,9,103.54,6
3.17,5,9.23,11,84.82,7,12.64,5,74.03,6,-7.53,4,115.01,7,178.17,10,11.74,4,105.3,7
2.03,4,2.63,5,77.13,9,1.24,3,50.78,3,6.97,9,123.74,6,179.03,11,5.77,8,102.86,5
1.22,3,9.56,2,78.46,10,-0.62,11,39.39,11,-5.95,6,114.14,6,180.22,2,8.32,10,106.4,8
0.29,2,2.5,5,84.07,6,-7.66,4,32.8,5,-9.04,3,122.62,5,181.29,3,3.11,5,104.17,6
-1.13,11,9.08,11,82.73,5,4.23,6,28.58,11,-7.96,4,122.13,4,181.87,4,4.31,6,104.14,6
-0.26,2,2.79,5,84.57,7,-8.49,4,25.46,7,8.76,11,125.64,8,182.74,5,4.78,7,104.03,6
0.65,3,9.12,11,86.61,9,-11.11,11,21.93,4,-9.46,3,125.35,7,183.65,6,-0.15,2,104.3,6
1.92,4,3.15,5,84.83,7,-11.33,11,19.99,2,-8.65,3,122.7,5,184.92,7,7.46,9,103.91,6
2.71,5,8.64,11,77.98,10,-8.18,4,18.11,10,-0.26,2,121.67,4,185.71,8,1.65,4,104.68,7
3.71,6,3.36,5,79.38,11,-7.11,5,16.76,9,7.99,10,129.85,2,186.71,9,6.0,8,103.45,5
4.98,7,8.91,11,82.05,4,-10.87,11,15.14,7,6.47,8,120.7,3,187.98,10,4.45,6,105.35,7
6.43,8,3.54,6,77.49,9,-5.04,7,13.46,5,9.57,2,130.71,3,189.43,11,7.75,10,103.08,5
7.84,10,8.87,11,80.54,3,-9.72,2,12.73,5,-5.18,7,121.3,3,190.84,3,1.69,4,106.12,8
8.55,11,2.84,5,84.74,7,7.71,10,11.6,4,4.33,6,130.91,3,191.55,4,0.51,3,103.77,6
9.75,2,9.36,11,77.66,10,-13.02,9,12.37,4,1.32,3,122.02,4,192.75,5,11.34,3,104.75,7
10.76,3,2.65,5,78.91,11,8.18,10,10.93,3,-4.67,7,126.25,8,193.76,6,4.03,6,103.12,5
11.89,4,9.48,11,83.41,5,3.01,5,10.16,2,7.42,9,131.94,4,194.89,7,12.21,4,106.08,8
12.73,5,2.36,4,79.68,2,10.35,2,10.19,2,9.58,2,131.57,4,195.73,8,11.73,4,103.59,6
13.38,5,9.29,11,85.63,8,-12.12,10,200.39,2,4.21,6,129.31,11,196.38,8,8.43,10,105.45,7
12.47,4,2.79,5,77.86,10,11.21,3,73.83,6,3.81,6,123.76,6,197.47,9,12.14,4,102.9,5
11.26,3,9.0,11,75.2,7,-3.02,9,50.54,3,-0.82,11,114.13,6,198.26,10,0.66,3,106.35,8
11.12,3,3.85,6,81.06,3,8.49,10,39.11,11,9.55,2,123.23,5,200.12,2,11.43,3,104.21,6
9.7,2,7.73,10,79.51,2,12.94,5,33.48,5,6.23,8,116.66,9,166.35,8,10.3,2,103.96,6
8.59,11,4.16,6,77.07,9,11.84,4,28.75,11,3.97,6,113.0,5,138.51,11,2.81,5,104.52,7
7.91,10,8.16,10,74.57,7,-2.26,10,25.2,7,1.83,4,112.24,4,115.74,8,10.53,3,103.56,6
6.87,9,3.8,6,81.96,4,4.29,6,23.04,5,5.5,7,104.19,6,96.42,8,7.94,10,105.13,7
6.11,8,8.43,10,77.22,9,11.68,4,20.54,3,7.08,9,99.11,11,80.58,3,8.39,10,102.98,5
5.26,7,3.72,6,80.76,3,-10.12,2,18.6,11,8.43,10,90.54,3,67.31,9,5.26,7,106.53,9
3.96,6,7.98,10,85.48,7,5.86,8,17.56,10,-6.46,6,96.33,8,55.79,8,2.5,4,104.53,7
2.87,5,3.94,6,78.93,11,-12.05,10,15.95,8,-1.3,11,105.34,7,46.4,8,6.86,9,103.55,6
2.66,5,8.85,11,76.88,9,-2.23,10,15.12,7,5.96,8,96.21,8,39.46,11,10.32,2,105.41,7
1.92,4,3.41,5,76.53,9,-3.31,9,14.25,6,-6.88,5,105.47,7,33.14,5,11.43,3,103.03,5
1.1,3,8.77,11,83.29,5,11.7,4,12.7,5,8.34,10,95.81,8,27.8,10,4.3,6,106.21,8
0.59,3,3.72,6,86.53,9,13.32,5,12.81,5,10.39,2,106.42,8,23.66,6,10.82,3,103.99,6
-0.4,2,8.29,10,88.18,10,5.37,7,12.29,4,0.86,3,102.44,4,19.72,2,3.01,5,104.35,6
0.64,3,3.75,6,79.37,11,-4.57,7,11.49,3,2.79,5,112.26,4,16.47,8,1.07,3,103.82,6
2.01,4,8.62,11,80.9,3,-5.59,6,11.05,3,-5.16,7,105.08,7,14.1,6,1.61,4,104.75,7
2.93,5,3.31,5,76.42,8,9.49,11,199.87,2,-9.21,3,94.65,7,11.67,4,2.87,5,103.12,5
4.16,6,8.93,11,75.23,7,4.92,7,73.94,6,3.23,5,99.45,11,9.96,2,3.39,5,106.22,8
5.3,7,3.21,5,82.04,4,13.16,5,51.46,3,6.21,8,90.88,3,11.09,3,5.23,7,103.94,6
5.96,8,8.46,10,80.16,2,-8.23,4,40.48,2,2.59,5,93.04,5,11.75,4,5.44,7,104.46,6
7.49,9,4.08,6,81.94,4,-3.68,8,33.06,5,2.39,4,83.9,6,13.29,5,11.89,4,103.63,6
8.66,11,8.09,10,75.59,8,-11.13,11,27.72,10,-10.61,11,91.24,3,14.45,6,12.28,4,104.96,7
9.61,2,3.87,6,79.01,11,12.46,4,24.41,6,-7.79,4,89.78,2,15.41,7,6.93,9,103.06,5
10.74,3,8.26,10,80.67,3,-8.32,4,21.62,4,4.52,7,99.86,2,16.54,9,11.21,3,106.23,8
11.35,3,3.35,5,78.3,10,0.89,3,19.04,11,-9.45,3,93.97,6,17.15,9,-0.65,11,103.97,6
12.27,4,8.57,11,75.33,7,-10.64,11,18.19,10,-7.66,4,91.94,4,18.07,10,5.87,8,104.55,7
13.49,5,3.65,6,78.86,11,-5.58,6,16.52,9,-0.63,11,84.53,7,19.29,11,10.37,2,103.46,5
12.71,5,8.57,11,78.9,11,-10.85,11,14.85,7,-8.67,3,87.13,9,20.51,3,2.37,4,105.36,7
12.13,4,3.85,6,78.05,10,4.66,7,13.44,5,9.78,2,80.01,2,21.93,4,5.7,8,103.07,5
11.13,3,8.15,10,77.26,9,-9.83,2,12.68,5,7.71,10,70.08,2,22.93,5,-0.01,2,106.14,8
9.95,2,3.67,6,80.76,3,-9.65,2,11.27,3,8.37,10,77.94,10,23.75,6,0.7,3,103.68,6
9.11,11,8.49,10,85.7,8,-12.2,10,10.7,3,9.96,2,84.45,6,24.91,7,1.27,3,105.17,7
8.13,10,3.52,6,78.81,11,-12.97,9,10.0,2,0.02,2,87.98,10,25.92,8,5.02,7,102.99,5
6.9,9,8.26,10,75.35,7,-2.57,9,200.31,2,9.64,2,87.77,10,26.7,9,2.63,5,106.19,8
6.43,8,4.28,6,76.15,8,2.38,4,72.82,5,-0.93,11,85.47,7,28.23,10,12.88,5,103.77,6
5.38,7,7.67,10,77.9,10,12.54,5,49.99,2,6.09,8,79.52,2,29.18,11,8.91,11,104.83,7
4.17,6,4.11,6,81.99,4,-12.44,10,39.23,11,2.76,5,70.59,3,29.96,2,-0.36,2,103.04,5
2.96,5,7.68,10,84.01,6,0.22,2,32.15,4,5.63,8,80.58,3,30.75,3,0.65,3,106.19,8
2.02,4,4.39,6,83.44,5,-0.89,11,27.41,9,-9.23,3,71.52,4,31.82,4,7.11,9,103.8,6
0.65,3,7.24,9,85.05,7,-1.73,10,23.37,5,8.73,11,77.73,10,32.44,4,10.38,2,104.64,7
-0.33,2,4.79,7,87.63,10,5.78,8,20.52,3,5.93,8,85.27,7,33.47,5,0.04,2,103.41,5
0.59,3,7.13,9,82.22,4,9.43,11,19.09,11,-9.45,3,80.19,2,34.38,6,6.86,9,105.36,7
1.29,3,4.57,7,79.09,11,-3.62,8,17.06,9,8.05,10,69.62,2,35.08,7,4.5,6,102.89,5
2.48,4,7.62,10,82.26,4,13.18,5,16.1,8,-0.39,2,74.73,7,36.27,8,3.31,5,106.47,8
3.03,5,3.93,6,78.48,10,12.58,5,14.15,6,8.25,10,68.41,10,36.82,9,1.25,3,104.3,6
3.66,6,7.7,10,82.01,4,-3.88,8,13.54,6,9.25,11,61.98,4,37.46,9,11.39,3,103.83,6
4.84,7,4.47,6,80.97,3,-0.42,2,12.42,4,3.24,5,53.96,6,38.63,11,9.29,11,104.58,7
5.78,8,7.47,9,81.92,4,11.96,4,11.86,4,-5.16,7,48.43,10,39.58,2,8.91,11,103.37,5
6.8,9,4.55,7,78.06,10,3.05,5,11.86,4,3.44,5,39.36,11,40.6,3,1.03,3,105.7,8
7.49,9,7.13,9,80.01,2,3.73,6,10.99,3,2.06,4,49.03,11,41.28,3,-0.53,11,103.15,5
8.32,10,4.7,7,82.59,5,-12.73,9,10.68,3,8.28,10,40.01,2,42.12,4,11.72,4,106.08,8
9.67,2,7.65,10,75.9,8,-12.86,9,10.37,2,0.27,2,46.7,9,43.46,5,3.58,6,103.53,6
10.49,2,4.18,6,82.12,4,1.26,3,199.99,2,3.31,5,51.15,3,44.29,6,8.71,11,105.36,7
11.75,4,8.08,10,83.33,5,1.76,4,73.43,5,-7.54,4,58.68,11,45.54,8,11.43,3,102.97,5
12.33,4,3.5,6,83.89,6,-7.55,4,50.62,3,4.91,7,67.33,9,46.12,8,-0.7,11,106.33,8
13.54,6,8.71,11,87.34,9,-9.62,2,39.67,2,-5.21,7,58.24,10,47.34,9,6.35,8,104.21,6
12.4,4,3.15,5,87.57,10,-7.8,4,32.19,4,-8.45,4,67.99,10,48.2,10,11.77,4,103.94,6
11.51,4,8.96,11,81.03,3,-12.77,9,27.31,9,1.16,3,59.23,11,49.31,11,10.18,2,104.52,7
10.92,3,3.45,5,78.76,11,-8.81,3,23.89,6,2.36,4,63.96,6,50.72,3,2.68,5,103.55,6
9.81,2,8.44,10,76.27,8,1.25,3,20.76,3,3.18,5,72.83,5,51.61,4,2.82,5,105.22,7
8.98,11,3.72,6,77.03,9,-12.4,10,18.22,10,-7.11,5,67.4,9,52.77,5,6.28,8,103.0,5
8.12,10,8.42,10,82.26,4,-7.72,4,16.41,8,1.07,3,57.36,9,53.92,6,1.25,3,106.22,8
7.03,9,3.49,5,85.98,8,-1.2,11,15.48,7,6.01,8,64.33,6,54.83,7,1.85,4,103.83,6
6.03,8,8.51,11,85.95,8,-8.31,4,15.19,7,1.11,3,74.68,7,55.82,8,10.99,3,104.76,7
4.94,7,3.4,5,78.2,10,7.13,9,13.46,5,6.98,9,67.71,10,56.73,9,5.85,8,103.16,5
3.79,6,8.45,10,74.52,7,-11.09,11,13.07,5,1.7,4,57.76,10,57.59,10,0.75,3,105.97,8
3.01,5,3.77,6,78.96,11,5.41,7,12.62,5,-8.61,3,67.2,9,58.81,11,5.37,7,103.51,6
1.81,4,8.02,10,75.37,7,-9.03,3,11.02,3,8.77,11,57.34,9,59.6,2,9.66,2,105.23,7
0.75,3,3.92,6,75.34,7,-5.8,6,10.25,2,5.91,8,63.94,6,60.55,3,0.9,3,102.9,5
-0.21,2,8.12,10,77.39,9,-12.89,9,200.5,2,-9.49,3,72.64,5,61.58,4,1.07,3,106.35,8
0.52,3,3.62,6,78.64,11,3.32,5,74.04,6,9.41,11,69.25,11,62.32,4,-0.44,2,104.17,6
1.23,3,8.09,10,84.4,6,2.59,5,50.69,3,-1.03,11,71.41,3,63.03,5,4.51,7,104.21,6
2.09,4,3.77,6,81.31,3,-13.32,9,39.9,2,-0.99,11,78.27,10,63.89,6,8.77,11,103.85,6
3.32,5,8.45,10,83.0,5,-12.21,10,32.4,4,0.92,3,81.4,3,65.11,7,1.37,3,104.75,7
4.83,7,4.07,6,79.92,2,5.01,7,27.11,9,1.97,4,78.96,11,66.63,9,5.86,8,103.31,5
5.46,7,7.56,10,84.31,6,-2.79,9,23.21,5,-4.58,7,74.07,6,67.25,9,5.38,7,105.54,8
6.75,9,4.74,7,77.14,9,-7.85,4,20.41,2,3.33,5,64.18,6,68.55,11,10.49,2,103.05,5
