special_table,special_table,special_table,special_table
64.87,7,4.08,6
73.67,6,0.8,3
63.88,6,6.54,9
72.32,4,8.91,11
72.25,4,3.82,6
72.19,4,1.46,3
73.71,6,12.47,4
64.24,6,9.21,11
74.56,7,9.33,11
67.36,9,7.83,10
56.86,9,0.63,3
59.71,2,-0.31,2
59.17,11,10.24,2
63.8,6,8.83,11
72.28,4,7.27,9
71.85,4,8.63,11
75.06,7,7.83,10
71.41,3,5.06,7
77.73,10,1.62,4
85.05,7,10.25,2
83.39,5,8.93,11
94.54,7,7.04,9
97.39,9,11.97,4
97.43,9,9.87,2
97.0,9,4.95,7
100.64,3,0.81,3
101.72,4,4.17,6
111.79,4,11.06,3
101.3,3,1.72,4
108.28,10,6.43,8
116.95,9,9.72,2
110.86,3,1.98,4
102.71,5,-0.13,2
110.88,3,9.38,11
102.75,5,5.91,8
110.09,2,0.71,3
108.69,11,3.81,6
117.93,10,8.02,10
107.82,10,4.45,6
116.28,8,12.35,4
115.31,7,11.42,3
123.67,6,7.8,10
114.98,7,11.54,4
124.29,6,8.97,11
115.03,7,2.05,4
124.36,6,8.43,10
115.75,8,7.32,9
120.86,3,3.35,5
130.15,2,1.94,4
120.76,3,11.99,4
130.52,3,3.42,5
120.6,3,10.19,2
130.42,2,7.05,9
121.63,4,7.6,10
129.48,11,3.6,6
122.82,5,1.94,4
120.47,2,1.04,3
130.3,2,0.19,2
121.36,3,8.6,11
130.71,3,10.45,2
120.88,3,2.32,4
131.31,3,7.12,9
124.69,7,9.56,2
115.54,8,2.34,4
122.54,5,7.52,10
121.71,4,3.2,5
128.49,10,2.32,4
131.79,4,8.52,11
131.56,4,0.39,2
128.34,10,2.95,5
132.25,4,3.8,6
135.16,7,1.41,3
134.25,6,10.61,3
142.08,4,0.57,3
136.19,8,5.62,8
127.84,10,8.2,10
136.67,9,8.07,10
125.88,8,11.64,4
128.07,10,7.44,9
134.44,6,-0.21,2
139.89,2,5.58,8
149.64,2,10.99,3
140.04,2,8.08,10
149.74,2,1.5,3
141.12,3,2.74,5
143.12,5,1.48,3
134.02,6,2.52,5
142.26,4,9.78,2
134.02,6,1.49,3
142.57,5,9.54,2
132.74,5,7.59,10
139.43,11,11.68,4
149.33,11,11.36,3
139.05,11,4.23,6
146.74,9,6.09,8
154.91,7,4.57,7
146.74,9,7.94,10
155.24,7,6.98,9
146.54,9,0.21,2
155.49,7,12.7,5
145.7,8,8.93,11
155.66,8,11.55,4
145.71,8,8.93,11
154.59,7,9.55,2
148.45,10,6.7,9
140.85,3,7.93,10
145.55,8,8.57,11
154.06,6,2.16,4
153.42,5,3.82,6
158.51,11,0.88,3
168.22,10,10.37,2
158.22,10,3.75,6
166.66,9,5.76,8
164.87,7,11.55,4
174.62,7,5.47,7
164.51,7,6.05,8
174.08,6,-0.51,11
164.52,7,11.57,4
173.16,5,6.74,9
170.07,2,6.34,8
174.94,7,3.58,6
165.92,8,6.75,9
171.02,3,5.54,8
180.57,3,12.52,5
171.14,3,5.85,8
181.64,4,1.13,3
176.03,8,7.95,10
177.18,9,11.47,3
186.6,9,3.99,6
177.59,10,11.91,4
187.54,10,7.68,10
179.28,11,8.68,11
176.93,9,2.05,4
186.0,8,7.13,9
180.0,2,5.19,7
172.12,4,11.89,4
177.52,10,6.69,9
188.41,10,7.28,9
187.3,9,1.06,3
178.26,10,4.3,6
185.57,8,10.7,3
183.69,6,0.15,2
193.34,5,3.49,5
183.59,6,9.4,11
192.88,5,4.23,6
182.8,5,3.55,6
188.57,11,9.54,2
189.91,2,6.58,9
199.31,11,0.15,2
190.05,2,0.53,3
200.2,2,9.76,2
193.15,5,-0.04,2
182.92,5,2.67,5
189.41,11,9.33,11
196.99,9,4.77,7
205.33,7,7.7,10
196.08,8,10.75,3
205.4,7,9.68,2
195.85,8,2.99,5
205.28,7,1.48,3
196.47,8,4.82,7
206.88,9,12.23,4
201.21,3,11.14,3
202.88,5,3.6,6
212.72,5,2.54,5
204.43,6,0.75,3
201.69,4,3.39,5
207.29,9,-0.08,2
206.16,8,6.87,9
196.79,9,8.0,10
205.69,8,2.06,4
194.73,7,4.66,7
194.27,6,3.84,6
189.07,11,6.89,9
194.33,6,6.7,9
188.87,11,2.04,4
192.19,4,9.19,11
186.99,9,11.55,4
177.2,9,7.67,10
186.29,8,0.84,3
178.88,11,8.63,11
180.6,3,11.52,4
171.25,3,8.52,11
181.76,4,6.36,8
177.94,10,6.27,8
187.35,9,10.2,2
178.49,10,9.9,2
184.19,6,0.9,3
193.27,5,3.75,6
184.2,6,12.33,4
193.11,5,10.15,2
183.49,5,10.43,2
193.22,5,9.64,2
183.65,6,-0.13,2
194.2,6,11.58,4
188.56,11,4.5,7
188.84,11,8.31,10
191.69,4,11.15,3
190.47,2,12.03,4
198.82,11,2.65,5
191.03,3,7.57,10
196.41,8,10.25,2
206.96,9,7.5,9
203.43,5,3.54,6
209.9,2,10.75,3
214.96,7,2.45,4
224.43,6,4.7,7
214.07,6,4.27,6
218.01,10,-0.4,2
208.82,11,8.05,10
218.37,10,10.02,2
208.43,10,7.21,9
217.31,9,10.03,2
211.41,3,6.34,8
203.47,5,8.07,10
209.51,2,5.26,7
217.86,10,4.13,6
208.24,10,10.91,3
216.14,8,9.84,2
221.96,4,8.9,11
230.69,3,7.9,10
220.82,3,0.25,2
228.62,11,10.03,2
234.46,6,9.46,11
243.66,6,8.43,10
234.31,6,11.21,3
243.4,5,1.84,4
233.64,6,10.27,2
242.65,5,6.1,8
237.09,9,0.57,3
227.24,9,6.32,8
236.45,8,11.51,4
229.38,11,10.85,3
229.46,11,11.55,4
228.04,10,4.03,6
238.22,10,3.14,5
232.07,4,0.1,2
228.26,10,10.09,2
237.17,9,2.68,5
227.26,9,9.69,2
236.67,9,5.9,8
227.69,10,-0.06,2
237.56,10,2.92,5
228.17,10,6.21,8
237.28,9,5.81,8
227.52,10,-0.1,2
236.04,8,7.84,10
231.83,4,5.8,8
226.67,9,3.53,6
231.07,3,3.89,6
221.73,4,9.91,2
232.32,4,8.37,10
230.62,3,2.82,5
221.4,3,3.23,5
231.19,3,1.01,3
221.81,4,11.39,3
230.3,2,8.41,10
222.49,4,4.57,7
228.24,10,3.64,6
236.7,9,11.87,4
228.52,11,1.91,4
235.67,8,4.49,6
235.07,7,5.4,7
239.79,2,4.15,6
248.76,11,5.02,7
243.51,6,5.26,7
233.54,6,4.85,7
242.51,5,2.38,4
236.66,9,-0.02,2
227.41,9,7.09,9
236.77,9,1.79,4
228.73,11,2.94,5
235.23,7,4.33,6
238.98,11,1.75,4
241.45,3,0.93,3
245.58,8,5.47,7
251.65,4,3.23,5
255.32,7,9.67,2
248.05,10,2.92,5
249.07,11,6.32,8
241.25,3,11.76,4
246.63,9,3.51,6
256.39,8,6.1,8
247.51,10,6.42,8
253.88,6,5.39,7
259.89,2,1.92,4
267.86,10,-0.21,2
260.45,2,3.64,6
263.2,5,2.81,5
256.48,8,10.56,3
246.22,8,2.06,4
255.0,7,11.7,4
249.98,2,6.01,8
239.92,2,5.19,7
249.08,11,7.65,10
241.45,3,3.86,6
246.5,8,5.56,8
256.29,8,12.02,4
246.15,8,7.47,9
255.12,7,-0.91,11
249.5,2,1.71,4
238.92,11,4.16,6
240.19,2,9.22,11
250.26,2,1.68,4
241.73,4,1.98,4
243.1,5,8.65,11
233.76,6,4.24,6
243.01,5,11.71,4
233.31,5,2.67,5
240.4,2,4.08,6
250.05,2,11.18,3
240.55,3,10.12,2
250.5,3,1.94,4
243.27,5,2.81,5
233.42,5,3.06,5
241.32,3,6.72,9
246.88,9,11.94,4
256.25,8,4.97,7
246.41,8,10.6,3
257.18,9,0.9,3
253.63,6,6.92,9
260.96,3,1.4,3
258.85,11,3.22,5
267.71,10,5.52,8
261.7,4,8.63,11
254.11,6,5.39,7
257.23,9,8.51,11
253.9,6,6.32,8
259.79,2,12.25,4
268.32,10,7.72,10
258.97,11,10.9,3
269.47,11,3.34,5
263.89,6,9.12,11
264.15,6,-0.88,11
265.81,8,9.4,11
274.35,6,7.2,9
265.17,7,9.27,11
274.92,7,1.31,3
265.2,7,3.24,5
275.17,7,1.57,4
265.79,8,1.42,3
274.83,7,11.39,3
265.27,7,2.49,4
275.46,7,11.19,3
266.56,9,0.35,2
270.29,2,10.05,2
270.74,3,5.31,7
276.15,8,7.71,10
273.44,5,9.76,2
271.92,4,4.26,6
281.53,4,10.88,3
271.42,3,11.13,3
280.76,3,8.66,11
271.72,4,11.52,4
281.37,3,6.38,8
271.1,3,10.5,3
279.47,11,11.15,3
280.32,2,7.02,9
273.9,6,4.17,6
267.4,9,4.85,7
263.02,5,2.32,4
255.22,7,4.88,7
248.72,11,6.0,8
242.5,5,7.98,10
237.86,10,11.81,4
229.99,2,1.28,3
224.7,7,0.72,3
215.02,7,0.54,3
224.57,7,11.23,3
215.13,7,11.63,4
224.33,6,-0.12,2
214.38,6,1.29,3
221.07,3,-0.08,2
230.51,3,1.43,3
221.22,3,10.4,2
230.31,2,11.29,3
221.43,3,8.14,10
230.71,3,0.42,2
221.05,3,11.59,4
230.54,3,7.05,9
221.79,4,10.68,3
230.38,2,0.99,3
221.43,3,9.82,2
230.4,2,4.82,7
220.48,2,11.91,4
225.68,8,11.71,4
220.67,3,10.72,3
228.29,10,11.33,3
236.68,9,10.08,2
228.28,10,7.77,10
237.08,9,4.62,7
226.91,9,5.93,8
234.08,6,11.74,4
245.01,7,7.17,9
244.41,6,5.47,7
238.64,11,10.17,2
236.92,9,5.62,8
227.45,9,2.62,5
236.59,9,5.14,7
228.97,11,10.73,3
233.65,6,1.91,4
243.57,6,12.42,4
233.54,6,11.63,4
242.66,5,7.07,9
236.39,8,10.39,2
228.47,10,9.18,11
235.46,7,6.11,8
237.23,9,1.63,4
227.34,9,2.3,4
237.09,9,10.52,3
227.44,9,0.48,2
238.42,10,1.85,4
235.59,8,5.87,8
235.77,8,8.09,10
235.12,7,1.66,4
240.04,2,3.45,5
249.27,11,6.13,8
240.89,3,12.28,4
248.52,11,10.51,3
246.53,9,6.07,8
257.0,9,11.15,3
252.35,4,4.06,6
261.04,3,2.38,4
258.25,10,10.77,3
263.61,6,11.31,3
260.55,3,0.88,3
262.9,5,6.43,8
254.39,6,10.18,2
254.58,7,1.58,4
253.68,6,1.7,4
261.37,3,10.87,3
255.27,7,4.19,6
248.96,11,3.05,5
242.18,4,9.74,2
240.46,2,12.37,4
250.12,2,-0.26,2
241.13,3,4.88,7
247.83,10,10.5,2
250.19,2,6.75,9
240.6,3,9.77,2
250.99,3,3.95,6
247.5,9,8.55,11
253.78,6,5.73,8
260.69,3,3.48,5
261.05,3,-0.03,2
258.61,11,9.98,2
266.98,9,10.55,3
267.51,10,6.25,8
262.5,4,8.73,11
252.9,5,2.2,4
262.63,5,2.32,4
253.28,5,9.61,2
262.88,5,0.98,3
255.01,7,12.44,4
249.84,2,2.31,4
240.31,2,7.86,10
250.62,3,9.55,2
243.96,6,0.55,3
234.66,7,-0.02,2
242.39,4,8.79,11
237.67,10,1.49,3
228.59,11,6.9,9
234.85,7,8.43,10
241.7,4,2.12,4
244.15,6,11.5,4
235.51,8,2.67,5
238.15,10,0.47,2
232.1,4,5.74,8
228.83,11,-0.19,2
234.42,6,5.4,7
243.54,6,1.09,3
232.96,5,10.2,2
237.7,10,3.74,6
229.19,11,6.96,9
230.35,2,1.94,4
222.81,5,10.93,3
225.12,7,12.38,4
217.28,9,3.04,5
212.8,5,2.02,4
205.45,7,0.86,3
196.0,8,5.62,8
205.26,7,4.96,7
197.18,9,11.48,3
203.86,6,0.89,3
207.68,10,11.38,3
210.9,3,0.64,3
207.23,9,8.82,11
205.72,8,10.96,3
195.55,8,11.46,3
202.51,5,6.16,8
212.9,5,2.51,5
206.36,8,11.83,4
198.55,11,1.74,4
192.49,4,6.12,8
184.71,7,9.73,2
190.83,3,11.75,4
197.78,10,8.08,10
198.92,11,7.12,9
190.58,3,4.59,7
199.42,11,2.08,4
189.03,11,6.25,8
194.24,6,5.4,7
189.36,11,1.76,4
197.36,9,-0.43,2
203.4,5,11.4,3
210.17,2,11.12,3
213.7,6,1.82,4
214.49,6,5.12,7
221.93,4,8.79,11
230.08,2,12.35,4
223.09,5,2.31,4
223.1,5,7.6,10
222.97,5,2.15,4
224.42,6,1.07,3
214.78,7,2.11,4
223.99,6,2.66,5
216.02,8,4.79,7
223.51,6,7.39,9
218.87,11,7.64,10
209.65,2,2.33,4
216.74,9,10.92,3
216.37,8,4.33,6
221.2,3,12.16,4
230.13,2,0.74,3
223.18,5,7.33,9
221.65,4,4.65,7
231.84,4,1.75,4
225.56,8,4.09,6
220.39,2,0.58,3
225.08,7,2.0,4
216.7,9,9.33,11
217.36,9,0.24,2
212.12,4,11.21,3
201.39,3,9.53,2
204.78,7,0.46,2
199.89,2,8.06,10
191.16,3,5.27,7
195.83,8,1.6,4
204.77,7,10.42,2
199.01,11,3.89,6
190.56,3,0.39,2
199.25,11,4.83,7
189.94,2,9.51,2
200.68,3,11.12,3
196.47,8,4.92,7
205.52,8,8.52,11
195.77,8,9.51,2
204.62,7,9.03,11
201.04,3,1.5,4
200.89,3,10.79,3
199.66,2,10.2,2
189.59,2,3.94,6
198.68,11,5.43,7
190.76,3,9.87,2
198.9,11,11.97,4
190.48,2,5.66,8
199.6,2,2.67,5
189.33,11,0.72,3
196.41,8,10.77,3
206.11,8,1.36,3
196.45,8,-0.25,2
206.76,9,2.43,4
200.94,3,10.4,2
200.16,2,4.12,6
191.69,4,4.94,7
190.27,2,7.44,9
200.0,2,-0.44,2
191.72,4,1.76,4
190.49,2,10.59,3
199.36,11,11.57,4
189.03,11,1.35,3
194.74,7,10.81,3
193.68,6,9.19,11
184.6,7,8.81,11
191.64,4,4.13,6
191.38,3,0.78,3
194.08,6,8.54,11
187.42,9,-0.45,2
178.15,10,11.59,4
185.65,8,4.23,6
183.35,5,1.96,4
192.66,5,12.79,5
184.06,6,11.5,4
194.46,6,-0.3,2
190.88,3,9.61,2
197.47,9,4.38,6
201.43,3,11.51,4
205.37,7,1.7,4
195.69,8,10.0,2
203.31,5,10.74,3
211.08,3,5.81,8
206.2,8,10.91,3
196.9,9,0.6,3
206.33,8,11.25,3
198.46,10,7.98,10
192.6,5,11.53,4
184.39,6,3.88,6
193.14,5,3.91,6
183.05,5,4.87,7
190.36,2,1.38,3
200.79,3,0.57,3
197.52,10,5.64,8
200.99,3,7.97,10
199.86,2,4.75,7
190.5,3,1.72,4
199.31,11,2.5,4
188.2,10,1.03,3
185.73,8,7.06,9
182.08,4,12.43,4
180.82,3,5.22,7
171.41,3,9.68,2
181.44,3,-0.54,11
174.18,6,3.74,6
163.8,6,5.8,8
167.78,10,11.82,4
158.02,10,1.11,3
165.95,8,5.95,8
171.35,3,2.6,5
181.21,3,11.72,4
172.39,4,4.76,7
175.96,8,2.47,4
176.01,8,8.8,11
177.29,9,7.55,10
186.85,9,4.79,7
177.43,9,6.19,8
187.19,9,2.39,4
177.73,10,8.41,10
187.86,10,7.45,9
181.36,3,11.43,3
173.27,5,12.2,4
169.07,11,-0.47,2
163.84,6,10.22,2
168.0,10,7.15,9
157.24,9,6.2,8
159.02,11,10.09,2
168.56,11,9.38,11
159.78,2,9.62,2
164.44,6,11.02,3
172.88,5,2.32,4
171.99,4,7.11,9
179.46,11,2.34,4
175.81,8,2.45,4
174.97,7,8.7,11
167.21,9,9.8,2
161.42,3,8.13,10
152.91,5,7.24,9
161.61,4,6.33,8
151.02,3,6.67,9
153.55,6,8.3,10
158.02,10,4.64,7
166.37,8,3.62,6
168.35,10,9.91,2
158.35,10,11.8,4
167.83,10,8.13,10
158.93,11,5.02,7
168.68,11,9.88,2
160.45,2,8.73,11
158.03,10,3.09,5
165.9,8,11.51,4
171.68,4,11.54,4
181.14,3,10.01,2
171.87,4,3.57,6
179.83,2,6.39,8
173.53,6,8.13,10
167.15,9,11.15,3
161.3,3,8.27,10
152.64,5,2.93,5
162.54,5,4.51,7
156.16,8,3.28,5
147.68,10,0.22,2
147.66,10,6.59,9
147.79,10,12.39,4
146.05,8,2.53,5
156.44,8,0.99,3
150.02,2,12.0,4
143.01,5,9.65,2
133.03,5,9.35,11
141.51,4,3.76,6
139.47,11,-0.1,2
148.68,11,12.49,4
140.04,2,9.26,11
150.25,2,4.65,7
145.33,7,3.5,5
153.27,5,-0.44,2
159.98,2,10.17,2
160.93,3,2.44,4
154.62,7,11.31,3
148.75,11,8.79,11
139.16,11,2.14,4
146.97,9,9.53,2
152.44,4,1.66,4
162.95,5,5.67,8
158.56,11,1.05,3
168.19,10,8.51,11
159.3,11,4.6,7
166.78,9,5.93,8
164.68,7,9.33,11
175.3,7,4.12,6
168.75,11,7.99,10
161.05,3,6.44,8
153.65,6,11.19,3
155.92,8,9.41,11
146.95,9,7.55,10
153.86,6,2.7,5
154.15,6,2.24,4
152.76,5,10.69,3
162.24,4,0.71,3
153.94,6,4.5,6
153.65,6,12.54,5
156.95,9,1.91,4
156.16,8,8.29,10
147.15,9,2.77,5
151.3,3,9.28,11
155.85,8,1.37,3
145.7,8,10.58,3
156.35,8,1.81,4
149.24,11,9.02,11
139.05,11,6.34,8
146.39,8,7.95,10
156.27,8,11.07,3
148.95,11,9.42,11
139.41,11,6.04,8
148.06,10,7.13,9
144.16,6,3.99,6
140.81,3,4.78,7
146.1,8,-0.14,2
155.88,8,1.61,4
146.42,8,8.0,10
155.47,7,6.76,9
145.48,7,5.47,7
154.45,6,3.88,6
150.01,2,1.06,3
142.82,5,10.07,2
132.96,5,11.05,3
141.5,3,5.25,7
140.29,2,1.52,4
148.38,10,10.77,3
142.27,4,10.31,2
135.2,7,10.82,3
133.39,5,0.52,3
143.13,5,5.65,8
133.83,6,1.59,4
143.0,5,11.63,4
132.61,5,4.01,6
138.43,10,8.32,10
141.4,3,9.48,11
141.49,3,12.32,4
140.83,3,7.51,10
146.3,8,1.01,3
155.58,8,5.2,7
146.6,9,6.2,8
154.48,6,9.12,11
148.52,11,3.82,6
141.04,3,2.38,4
144.13,6,2.91,5
140.74,3,-0.56,11
145.58,8,10.71,3
153.77,6,11.06,3
155.14,7,6.37,8
144.86,7,0.49,2
148.67,11,3.22,5
139.64,2,1.04,3
149.74,2,9.73,2
141.09,3,9.64,2
143.6,6,3.67,6
135.3,7,9.15,11
132.89,5,12.27,4
140.1,2,0.48,2
149.93,2,6.78,9
142.79,5,2.36,4
132.69,5,5.26,7
139.78,2,6.34,8
150.03,2,1.47,3
143.47,5,-0.03,2
134.29,6,1.26,3
140.45,2,2.36,4
148.69,11,6.86,9
140.45,2,1.29,3
149.28,11,9.6,2
139.59,2,4.34,6
148.96,11,1.86,4
140.65,3,10.29,2
148.11,10,0.6,3
143.96,6,10.94,3
138.32,10,9.87,2
139.14,11,7.78,10
147.93,10,1.71,4
144.98,7,10.68,3
150.15,2,1.8,4
144.82,7,1.44,3
148.68,11,11.94,4
140.58,3,10.1,2
147.65,10,10.78,3
146.83,9,3.94,6
153.93,6,2.29,4
153.96,6,0.5,2
154.03,6,12.94,5
153.58,6,12.61,5
157.98,10,2.56,5
166.44,8,11.08,3
167.66,10,10.2,2
158.59,11,-0.65,11
168.77,11,7.53,10
160.43,2,10.4,2
157.85,10,10.05,2
165.25,7,10.8,3
174.79,7,3.99,6
165.52,8,10.89,3
173.83,6,3.39,5
165.1,7,12.46,4
175.35,7,10.4,2
170.38,2,11.38,3
176.5,9,6.42,8
182.29,4,3.19,5
183.45,5,6.23,8
192.1,4,0.69,3
187.83,10,6.69,9
181.3,3,11.43,3
173.09,5,7.66,10
170.55,3,1.75,4
179.07,11,11.2,3
178.79,11,4.46,6
180.72,3,0.17,2
170.2,2,6.43,8
175.63,8,1.16,3
173.07,5,2.52,5
170.43,2,10.9,3
178.0,10,9.97,2
186.67,9,0.3,2
176.97,9,-0.57,11
185.9,8,13.05,5
180.12,2,12.33,4
172.52,5,7.02,9
175.52,8,4.63,7
171.61,4,7.86,10
181.46,3,10.79,3
